N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
216,제이콘텐트리,"55,700","3,500",-5.91%,"5,000","10,192","18,298",2.15,"690,368",-6.17,-52.61,
217,LG전자우,"59,300","1,200",-1.98%,"5,000","10,191","17,186",40.45,"59,056",8.56,N/A,
218,미원에스씨,"199,500","1,500",-0.75%,500,"10,174","5,100",0.88,"2,187",14.89,13.58,
219,F&F홀딩스,"25,900","1,400",-5.13%,500,"10,131","39,114",0.80,"64,263",0.21,16.59,
220,한화투자증권,"4,630",255,-5.22%,"5,000","9,934","214,548",6.24,"3,194,368",7.78,5.58,
221,지누스,"62,800","3,700",-5.56%,500,"9,923","15,800",21.19,"86,114",27.67,11.61,
222,롯데관광개발,"14,300","1,150",-7.44%,500,"9,906","69,276",6.36,"846,025",-5.01,-30.43,
223,동양생명,"6,120",130,+2.17%,"5,000","9,875","161,359",82.51,"263,583",3.65,4.52,
224,KBSTAR 200,"35,500","1,140",-3.11%,0,"9,869","27,800",0.01,"830,761",N/A,N/A,
225,프레스티지바이오파마,"16,150",350,+2.22%,0,"9,706","60,096",62.10,"192,498",-113.73,-1.78,
226,이노션,"48,400","1,200",-2.42%,500,"9,680","20,000",31.76,"65,005",13.01,8.28,
227,대한유화,"147,500","5,500",-3.59%,"5,000","9,588","6,500",13.09,"50,192",4.59,6.93,
228,한세실업,"23,700",200,+0.85%,500,"9,480","40,000",5.37,"388,191",16.06,10.97,
229,진원생명과학,"12,150",900,-6.90%,"1,000","9,430","77,614",12.56,"1,115,804",-36.71,-30.43,
230,KG동부제철,"9,400",400,-4.08%,"5,000","9,401","100,009",1.41,"301,964",5.47,7.18,
231,SK리츠,"6,050",10,-0.17%,500,"9,379","155,021",0.08,"326,637",116.35,N/A,
232,KODEX 200TR,"11,610",380,-3.17%,0,"9,160","78,900",0.02,"370,167",N/A,N/A,
233,미원상사,"183,000","2,000",-1.08%,500,"9,095","4,970",4.08,"1,668",14.33,21.07,
234,KCC글라스,"56,900",900,-1.56%,"1,000","9,087","15,971",9.91,"62,797",4.30,N/A,
235,HDC현대산업개발,"13,700",700,-4.86%,"5,000","9,029","65,907",10.90,"1,794,243",2.98,8.85,
236,더블유게임즈,"48,650","2,050",-4.04%,500,"8,939","18,375",9.93,"138,495",7.03,16.94,
237,한올바이오파마,"17,100",700,-3.93%,500,"8,933","52,241",5.69,"324,819",55.34,12.29,
238,하나투어,"63,900","4,100",-6.03%,500,"8,907","13,939",6.29,"168,462",-9.51,-108.93,
239,엠씨넥스,"49,500",350,+0.71%,500,"8,897","17,974",9.48,"276,392",46.92,16.10,
240,서울가스,"177,000","3,000",-1.67%,"5,000","8,850","5,000",7.50,"9,510",710.84,13.14,
241,해성디에스,"52,000",200,+0.39%,"5,000","8,840","17,000",7.42,"317,152",17.97,13.62,
242,LX인터내셔널,"22,750","1,200",-5.01%,"5,000","8,818","38,760",23.65,"275,359",3.28,23.72,
243,다우기술,"19,300",700,-3.50%,500,"8,659","44,867",22.06,"111,169",2.47,18.85,
244,제이알글로벌리츠,"5,200",50,-0.95%,"1,000","8,611","165,600",5.72,"957,310",N/A,N/A,
245,오리온홀딩스,"13,700",500,-3.52%,500,"8,582","62,645",5.18,"173,661",10.95,3.98,
246,휴켐스,"20,600",650,-3.06%,"1,000","8,421","40,879",4.99,"201,290",12.85,7.51,
247,TIGER 200 IT,"33,280","1,360",-3.93%,0,"8,387","25,200",0.07,"309,594",N/A,N/A,
248,대신증권,"16,500",200,+1.23%,"5,000","8,378","50,773",15.18,"127,165",2.25,7.35,
249,세방전지,"58,300","2,700",-4.43%,500,"8,162","14,000",27.25,"62,731",11.04,6.14,
250,CJ CGV,"20,000","1,050",-4.99%,500,"8,161","40,807",4.64,"293,171",-1.23,-314.44,
